Company Name,Sales,Operating Income,Net Income,Operating CF,,단위: 억 원
,"3,398 ",269 ,331 ,754 ,<-,21년
,"3,639 ",325 ,250 ,388 ,<-,22년
인바디,996 ,237 ,196 ,177 ,<-,18년
,"1,171 ",276 ,204 ,242 ,<-,19년
,"1,071 ",191 ,176 ,285 ,<-,20년
,"1,378 ",359 ,340 ,304 ,<-,21년
,"1,600 ",407 ,338 ,304 ,<-,22년
이녹스,578 ,35 ,-316 ,-36 ,<-,18년
,415 ,-51 ,-189 ,32 ,<-,19년
,544 ,106 ,124 ,25 ,<-,20년
,751 ,242 ,545 ,-36 ,<-,21년
,804 ,216 ,136 ,3 ,<-,22년
신흥에스이씨,"2,154 ",141 ,96 ,51 ,<-,18년
,"2,395 ",202 ,160 ,203 ,<-,19년
,"2,801 ",267 ,183 ,317 ,<-,20년
,"3,663 ",311 ,267 ,341 ,<-,21년
,"4,778 ",310 ,196 ,503 ,<-,22년
비츠로셀,"1,126 ",196 ,154 ,171 ,<-,18년
,"1,334 ",253 ,201 ,264 ,<-,19년
,"1,132 ",182 ,141 ,244 ,<-,20년
,"1,132 ",174 ,170 ,252 ,<-,21년
,"1,410 ",288 ,231 ,265 ,<-,22년
휴온스,"3,286 ",453 ,446 ,209 ,<-,18년
,"3,650 ",484 ,374 ,421 ,<-,19년
,"4,067 ",541 ,566 ,465 ,<-,20년
,"4,369 ",453 ,306 ,556 ,<-,21년
,"4,924 ",409 ,226 ,320 ,<-,22년
월덱스,"1,055 ",220 ,175 ,122 ,<-,18년
,"1,174 ",234 ,194 ,280 ,<-,19년
,"1,557 ",358 ,218 ,246 ,<-,20년
,"1,901 ",403 ,334 ,262 ,<-,21년
,"2,559 ",507 ,415 ,223 ,<-,22년
매일유업,"13,006 ",744 ,583 ,615 ,<-,18년
,"13,933 ",853 ,643 ,924 ,<-,19년
,"14,631 ",865 ,577 ,626 ,<-,20년
,"15,519 ",878 ,742 ,"1,006 ",<-,21년
,"16,856 ",607 ,144 ,-29 ,<-,22년
엘비세미콘,"2,757 ",274 ,188 ,685 ,<-,18년
,"3,904 ",504 ,365 ,961 ,<-,19년
,"4,428 ",428 ,316 ,795 ,<-,20년
,"4,962 ",442 ,383 ,"1,099 ",<-,21년
,"5,246 ",568 ,447 ,"1,240 ",<-,22년
원익피앤이,506 ,30 ,32 ,78 ,<-,18년
,651 ,56 ,43 ,15 ,<-,19년
,666 ,68 ,38 ,9 ,<-,20년
,"1,764 ",150 ,195 ,-135 ,<-,21년
,"2,888 ",39 ,0 ,-263 ,<-,22년
톱텍,"3,088 ",82 ,177 ,-276 ,<-,18년
,"1,672 ",-66 ,2 ,-167 ,<-,19년
,"3,220 ",289 ,138 ,-133 ,<-,20년
,"1,649 ",-886 ,"-1,063 ",-275 ,<-,21년
,"3,450 ",208 ,60 ,119 ,<-,22년
켐트로닉스,"3,374 ",94 ,11 ,12 ,<-,18년
,"4,035 ",263 ,166 ,545 ,<-,19년
,"5,300 ",221 ,180 ,123 ,<-,20년
,"5,634 ",385 ,285 ,59 ,<-,21년
,"6,210 ",225 ,62 ,399 ,<-,22년
에이스침대,"2,450 ",403 ,303 ,425 ,<-,18년
,"2,774 ",499 ,442 ,449 ,<-,19년
,"2,895 ",493 ,493 ,576 ,<-,20년
,"3,464 ",768 ,639 ,704 ,<-,21년
,"3,462 ",653 ,544 ,507 ,<-,22년
쎄트렉아이,461 ,56 ,51 ,2 ,<-,18년
,702 ,92 ,74 ,324 ,<-,19년
,892 ,137 ,119 ,135 ,<-,20년
,734 ,13 ,-126 ,-37 ,<-,21년
,914 ,-77 ,-28 ,241 ,<-,22년
원익머트리얼즈,"2,335 ",422 ,412 ,412 ,<-,18년
,"2,208 ",360 ,281 ,384 ,<-,19년
,"2,768 ",459 ,331 ,694 ,<-,20년
,"3,107 ",505 ,528 ,590 ,<-,21년
,"5,813 ",888 ,577 ,-98 ,<-,22년
엠케이전자,"7,065 ","1,737 ","1,332 ",508 ,<-,18년
,"7,316 ","1,267 ",769 ,-297 ,<-,19년
,"8,758 ","1,110 ",801 ,"3,305 ",<-,20년
,"9,580 ","1,085 ","1,187 ","2,704 ",<-,21년
,"10,232 ",803 ,31 ,802 ,<-,22년
동국산업,"7,578 ",148 ,20 ,-93 ,<-,18년
,"6,737 ",329 ,181 ,460 ,<-,19년
,"5,782 ",185 ,81 ,"1,007 ",<-,20년
,"7,291 ",349 ,373 ,-540 ,<-,21년
,"8,605 ",12 ,22 ,-190 ,<-,22년
와이아이케이,"2,432 ",329 ,296 ,443 ,<-,18년
,500 ,-118 ,-121 ,-29 ,<-,19년
,"1,719 ",248 ,205 ,167 ,<-,20년
,"3,113 ",546 ,509 ,505 ,<-,21년
,"2,853 ",364 ,344 ,300 ,<-,22년
제우스,"4,536 ",401 ,310 ,-85 ,<-,18년
,"3,235 ",182 ,142 ,66 ,<-,19년
,"3,600 ",182 ,181 ,355 ,<-,20년
,"4,008 ",249 ,163 ,311 ,<-,21년
,"5,090 ",463 ,352 ,81 ,<-,22년
이랜텍,"4,518 ",13 ,-109 ,-4 ,<-,18년
,"7,290 ",363 ,121 ,471 ,<-,19년
,"6,257 ",150 ,-160 ,514 ,<-,20년
,"7,619 ",355 ,339 ,106 ,<-,21년
,"9,979 ",798 ,547 ,501 ,<-,22년
상신이디피,"1,501 ",157 ,84 ,252 ,<-,18년
,"1,303 ",91 ,48 ,55 ,<-,19년
,"1,517 ",195 ,86 ,226 ,<-,20년
,"1,975 ",197 ,175 ,187 ,<-,21년
,"2,908 ",328 ,245 ,366 ,<-,22년
AP시스템,"7,142 ",458 ,252 ,-492 ,<-,18년
,"4,621 ",284 ,95 ,181 ,<-,19년
,"5,918 ",463 ,250 ,636 ,<-,20년
,"5,287 ",643 ,572 ,632 ,<-,21년
,"4,866 ",905 ,822 ,"1,111 ",<-,22년
쏠리드,"2,226 ",11 ,112 ,-108 ,<-,18년
,"2,293 ",-35 ,54 ,202 ,<-,19년
,"1,711 ",-157 ,-119 ,-58 ,<-,20년
,"2,123 ",61 ,237 ,-340 ,<-,21년
,"2,798 ",286 ,298 ,151 ,<-,22년
신성델타테크,"4,371 ",130 ,40 ,183 ,<-,18년
,"4,488 ",116 ,53 ,64 ,<-,19년
,"4,931 ",134 ,89 ,64 ,<-,20년
,"7,375 ",350 ,327 ,170 ,<-,21년
,"7,934 ",320 ,239 ,-29 ,<-,22년
이엔에프테크놀로지,"4,254 ",356 ,290 ,307 ,<-,18년
,"4,810 ",596 ,467 ,612 ,<-,19년
,"4,866 ",682 ,474 ,740 ,<-,20년
,"5,218 ",260 ,180 ,147 ,<-,21년
,"6,802 ",646 ,450 ,609 ,<-,22년
동성화인텍,"1,881 ",-85 ,-100 ,182 ,<-,18년
,"2,533 ",269 ,169 ,-55 ,<-,19년
,"3,880 ",320 ,213 ,622 ,<-,20년
,"3,650 ",302 ,265 ,-56 ,<-,21년
,"4,342 ",153 ,84 ,97 ,<-,22년
뷰웍스,"1,314 ",226 ,208 ,278 ,<-,18년
,"1,360 ",264 ,243 ,187 ,<-,19년
,"1,603 ",291 ,230 ,63 ,<-,20년
,"1,931 ",348 ,335 ,162 ,<-,21년
,"2,379 ",437 ,265 ,-15 ,<-,22년
선익시스템,"1,180 ",85 ,52 ,106 ,<-,18년
,876 ,114 ,71 ,5 ,<-,19년
,656 ,37 ,23 ,131 ,<-,20년
,462 ,-71 ,-102 ,-108 ,<-,21년
,741 ,44 ,-32 ,-124 ,<-,22년
아바코,"2,435 ",229 ,255 ,-254 ,<-,18년
,"2,261 ",233 ,196 ,318 ,<-,19년
,"2,003 ",231 ,145 ,574 ,<-,20년
,"1,798 ",98 ,125 ,-11 ,<-,21년
,"2,173 ",136 ,181 ,-62 ,<-,22년
파세코,"1,494 ",53 ,48 ,60 ,<-,18년
,"1,804 ",108 ,86 ,170 ,<-,19년
,"1,981 ",169 ,142 ,177 ,<-,20년
,"2,272 ",229 ,191 ,94 ,<-,21년
,"2,005 ",158 ,92 ,26 ,<-,22년
덕산하이메탈,478 ,12 ,121 ,82 ,<-,18년
,518 ,41 ,112 ,73 ,<-,19년
,552 ,64 ,153 ,78 ,<-,20년
,927 ,60 ,317 ,-137 ,<-,21년
,"1,715 ",-27 ,61 ,38 ,<-,22년
에이피티씨,610 ,211 ,175 ,220 ,<-,18년
,593 ,161 ,142 ,118 ,<-,19년
,930 ,296 ,234 ,130 ,<-,20년
,"1,781 ",540 ,465 ,541 ,<-,21년
